alarmRaisedTime,alarmName,alarmType
2018-04-07 15:20:13,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:13,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:13,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:13,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:13,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:13,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:13,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:14,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:14,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:14,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:14,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:14,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:56,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:56,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:56,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:56,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:56,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:56,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:56,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:56,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:56,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:56,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:56,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:56,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:56,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:56,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:56,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:56,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:56,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:56,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:56,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:50:27,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:50:27,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:50:27,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:50:27,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:50:27,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:50:27,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:50:41,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:50:41,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:50:41,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:50:41,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:50:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:50:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:50:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:50:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:50:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:50:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:50:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:50:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:50:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:50:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:50:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:50:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:50:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:50:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:12,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:12,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:27,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:41,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:41,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:10:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:40:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 16:45:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 17:05:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 17:05:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 17:05:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 17:20:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 17:25:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 17:35:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 18:00:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 18:15:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 18:15:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 18:27:26,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 18:27:26,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 18:25:52,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 18:35:39,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 19:20:52,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 19:20:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 20:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 20:20:52,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 20:30:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 20:30:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 20:50:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 21:05:39,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 21:25:39,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 21:25:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 21:30:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 21:50:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 22:05:52,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 23:00:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 23:10:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 23:10:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 23:15:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 23:15:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 23:20:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 00:10:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 00:10:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 00:15:45,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 00:15:45,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 00:20:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 00:50:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 00:50:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 01:15:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 02:50:52,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 02:55:27,Device Management IP is Unreachable,COMMUNICATIONS ALARM
